entrypoint_path,mode,current_transport,migration_class,target_transport,notes
tools/codex/dome_cli.py:run-skill,production,generated_client,MIGRATE_NOW,domed.grpc,already migrated baseline
tools/codex/dome_cli.py:run-skill-legacy,non-production,local_subprocess,DEPRECATE_REMOVE,domed.grpc,retain temporary adapter then remove
tools/codex/browse_skill.py:run_task,legacy_adapter,local_subprocess,ADAPTER_REQUIRED,domed.grpc,used for compatibility and tests
tools/orchestrator/run_demo.py:_run_and_capture,orchestrator_internal,local_subprocess,ADAPTER_REQUIRED,domed.grpc,map execution segments to domed jobs
tools/orchestrator/run_live_fix_demo.py:_run_cmd,orchestrator_internal,local_subprocess,ADAPTER_REQUIRED,domed.grpc,map execution segments to domed jobs
tools/orchestrator/run_live_fix_demo.py:git_rev_parse,orchestrator_internal,local_subprocess,KEEP_LOCAL,local_process,read-only local git metadata
tools/orchestrator/run_plan_implement_verify.py:_run_codex,orchestrator_internal,local_subprocess,ADAPTER_REQUIRED,domed.grpc,planner-execute path should submit domed jobs
tools/orchestrator/run_plan_implement_verify.py:_run_checker,orchestrator_internal,local_subprocess,ADAPTER_REQUIRED,domed.grpc,checker path should use job type wrapper
tools/orchestrator/run_plan_implement_verify.py:git_rev_parse,orchestrator_internal,local_subprocess,KEEP_LOCAL,local_process,read-only local git metadata
tools/orchestrator/checkers.py:_run,orchestrator_internal,local_subprocess,ADAPTER_REQUIRED,domed.grpc,tool checker invocation should route via daemonized runner
tools/orchestrator/ingest_pattern_catalog.py:rg_scan,orchestrator_internal,local_subprocess,KEEP_LOCAL,local_process,static repo scan utility; no runtime tool execution
tools/domed/check_proto_breaking.py:subprocess_wrappers,ci_tooling,local_subprocess,KEEP_LOCAL,local_process,CI contract tooling remains local
